日,bikeid 的计数,orderid 的计数,userid 的计数
1,1785,1827,1827
2,1422,1457,1457
3,1849,1890,1890
4,1682,1707,1707
5,1527,1548,1548
6,2131,2184,2184
7,2034,2095,2095
8,2512,2568,2568
9,2577,2635,2635
10,2904,2972,2972
11,2792,2848,2848
12,3135,3186,3186
13,2721,2800,2800
14,2729,2784,2784
15,3356,3437,3437
16,3445,3529,3529
17,3426,3495,3495
18,3419,3488,3488
19,3628,3692,3692
20,3517,3596,3596
21,2984,3034,3034
22,3707,3766,3766
23,3843,3905,3905
24,4007,4088,4088
25,4378,4441,4441
26,4696,4782,4782
27,4669,4779,4779
28,4825,4929,4929
29,4687,4782,4782
30,4655,4733,4733
31,5282,5384,5384
