start_time,bikeid,release_e
2016-08-01,129627,Null
2016-08-02,134312,4685.0
2016-08-03,139574,5262.0
2016-08-04,145425,5851.0
2016-08-05,151873,6448.0
2016-08-06,159055,7182.0
2016-08-07,167056,8001.0
2016-08-08,174507,7451.0
2016-08-09,180977,6470.0
2016-08-10,188646,7669.0
2016-08-11,197298,8652.0
2016-08-12,206070,8772.0
2016-08-13,215619,9549.0
2016-08-14,224716,9097.0
2016-08-15,233490,8774.0
2016-08-16,242615,9125.0
2016-08-17,252081,9466.0
2016-08-18,262156,10075.0
2016-08-19,271260,9104.0
2016-08-20,282233,10973.0
2016-08-21,292268,10035.0
2016-08-22,302519,10251.0
2016-08-23,311248,8729.0
2016-08-24,321071,9823.0
2016-08-25,330788,9717.0
2016-08-26,340412,9624.0
2016-08-27,352447,12035.0
2016-08-28,364475,12028.0
2016-08-29,373349,8874.0
2016-08-30,381261,7912.0
2016-08-31,387351,6090.0
