start_time,orderid,userid
2016-08-01,0,0
2016-08-01,1,1316
2016-08-01,2,221
2016-08-01,3,19
2016-08-01,4,3
2016-08-01,5,0
2016-08-01,6,0
2016-08-02,0,1206
2016-08-02,1,1085
2016-08-02,2,159
2016-08-02,3,15
2016-08-02,4,1
2016-08-02,5,1
2016-08-02,6,0
2016-08-03,0,1861
2016-08-03,1,1363
2016-08-03,2,201
2016-08-03,3,35
2016-08-03,4,5
2016-08-03,5,0
2016-08-03,6,0
2016-08-04,0,2752
2016-08-04,1,1307
2016-08-04,2,166
2016-08-04,3,20
2016-08-04,4,2
2016-08-04,5,0
2016-08-04,6,0
2016-08-05,0,3544
2016-08-05,1,1145
2016-08-05,2,168
2016-08-05,3,21
2016-08-05,4,1
2016-08-05,5,0
2016-08-05,6,0
2016-08-06,0,3852
2016-08-06,1,1555
2016-08-06,2,262
2016-08-06,3,27
2016-08-06,4,6
2016-08-06,5,0
2016-08-06,6,0
2016-08-07,0,4556
2016-08-07,1,1552
2016-08-07,2,225
2016-08-07,3,23
2016-08-07,4,6
2016-08-07,5,0
2016-08-07,6,0
2016-08-08,0,4802
2016-08-08,1,1878
2016-08-08,2,281
2016-08-08,3,36
2016-08-08,4,5
2016-08-08,5,0
2016-08-08,6,0
2016-08-09,0,5337
2016-08-09,1,1872
2016-08-09,2,322
2016-08-09,3,33
2016-08-09,4,5
2016-08-09,5,0
2016-08-09,6,0
2016-08-10,0,5712
2016-08-10,1,2027
2016-08-10,2,385
2016-08-10,3,51
2016-08-10,4,3
2016-08-10,5,2
2016-08-10,6,0
2016-08-11,0,6335
2016-08-11,1,1976
2016-08-11,2,351
2016-08-11,3,50
2016-08-11,4,5
2016-08-11,5,0
2016-08-11,6,0
2016-08-12,0,6656
2016-08-12,1,2190
2016-08-12,2,385
2016-08-12,3,67
2016-08-12,4,5
2016-08-12,5,1
2016-08-12,6,0
2016-08-13,0,7416
2016-08-13,1,2019
2016-08-13,2,332
2016-08-13,3,31
2016-08-13,4,6
2016-08-13,5,0
2016-08-13,6,0
2016-08-14,0,7923
2016-08-14,1,2009
2016-08-14,2,311
2016-08-14,3,44
2016-08-14,4,4
2016-08-14,5,1
2016-08-14,6,0
2016-08-15,0,7930
2016-08-15,1,2315
2016-08-15,2,449
2016-08-15,3,64
2016-08-15,4,8
2016-08-15,5,0
2016-08-15,6,0
2016-08-16,0,8288
2016-08-16,1,2405
2016-08-16,2,445
2016-08-16,3,70
2016-08-16,4,6
2016-08-16,5,0
2016-08-16,6,0
2016-08-17,0,8711
2016-08-17,1,2400
2016-08-17,2,435
2016-08-17,3,64
2016-08-17,4,7
2016-08-17,5,1
2016-08-17,6,0
2016-08-18,0,9058
2016-08-18,1,2384
2016-08-18,2,405
2016-08-18,3,83
2016-08-18,4,10
2016-08-18,5,1
2016-08-18,6,0
2016-08-19,0,9386
2016-08-19,1,2604
2016-08-19,2,434
2016-08-19,3,57
2016-08-19,4,11
2016-08-19,5,1
2016-08-19,6,0
2016-08-20,0,10006
2016-08-20,1,2523
2016-08-20,2,439
2016-08-20,3,47
2016-08-20,4,11
2016-08-20,5,2
2016-08-20,6,0
2016-08-21,0,10754
2016-08-21,1,2314
2016-08-21,2,311
2016-08-21,3,30
2016-08-21,4,2
2016-08-21,5,0
2016-08-21,6,0
2016-08-22,0,10584
2016-08-22,1,2658
2016-08-22,2,443
2016-08-22,3,66
2016-08-22,4,6
2016-08-22,5,0
2016-08-22,6,0
2016-08-23,0,10867
2016-08-23,1,2776
2016-08-23,2,468
2016-08-23,3,52
2016-08-23,4,8
2016-08-23,5,1
2016-08-23,6,0
2016-08-24,0,11194
2016-08-24,1,2802
2016-08-24,2,509
2016-08-24,3,76
2016-08-24,4,10
2016-08-24,5,0
2016-08-24,6,0
2016-08-25,0,11385
2016-08-25,1,3035
2016-08-25,2,526
2016-08-25,3,94
2016-08-25,4,13
2016-08-25,5,4
2016-08-25,6,0
2016-08-26,0,11638
2016-08-26,1,3126
2016-08-26,2,631
2016-08-26,3,107
2016-08-26,4,13
2016-08-26,5,3
2016-08-26,6,1
2016-08-27,0,12029
2016-08-27,1,3106
2016-08-27,2,632
2016-08-27,3,107
2016-08-27,4,18
2016-08-27,5,2
2016-08-27,6,1
2016-08-28,0,12174
2016-08-28,1,3220
2016-08-28,2,692
2016-08-28,3,88
2016-08-28,4,14
2016-08-28,5,1
2016-08-28,6,0
2016-08-29,0,12511
2016-08-29,1,3199
2016-08-29,2,618
2016-08-29,3,87
2016-08-29,4,19
2016-08-29,5,2
2016-08-29,6,0
2016-08-30,0,12759
2016-08-30,1,3154
2016-08-30,2,604
2016-08-30,3,113
2016-08-30,4,8
2016-08-30,5,0
2016-08-30,6,0
2016-08-31,0,12609
2016-08-31,1,3397
2016-08-31,2,691
2016-08-31,3,157
2016-08-31,4,31
2016-08-31,5,2
2016-08-31,6,0
